mensaje,etiqueta,fuente
BBVA: Detectamos un acceso no autorizado. Verifica tu cuenta: bit.ly/bbva-mx,spam,kaggle_mexico
Ganaste un premio de $10000 pesos. Llama al 800-555-0199 para reclamar,spam,kaggle_mexico
IMSS: Su cita medica esta programada. Confirme en: imss-citas.com,spam,kaggle_mexico
Banorte: Su tarjeta fue bloqueada por seguridad. Ingrese aqui: bit.ly/bnrt,spam,kaggle_mexico
Felicidades! Eres el ganador del sorteo Telcel. Responde SI para continuar,spam,kaggle_mexico
SAT: Tiene un reembolso pendiente de $3420. Ingresa tus datos en: sat-mx.com,spam,kaggle_mexico
Su paquete no pudo ser entregado. Reprograme en: correosmx.net/entrega,spam,kaggle_mexico
STARBUCKS: Tienes 500 puntos por vencer. Canjealos: strbcks.com/mx,spam,kaggle_mexico
Verificacion requerida: su cuenta Mercado Pago fue suspendida. Ingrese: bit.ly/mp-mx,spam,kaggle_mexico
TELMEX: Su servicio sera suspendido. Pague ahora: telmex-pagos.com,spam,kaggle_mexico
CFE: Tiene un adeudo pendiente. Evite el corte: cfe-pagos.net/verificar,spam,kaggle_mexico
Netflix: Su suscripcion expiro. Actualice su pago: bit.ly/netflix-mx,spam,kaggle_mexico
Hola! Soy del INFONAVIT. Tienes credito aprobado. Llama ya: 800-555-0177,spam,kaggle_mexico
Amazon: Su pedido fue retenido en aduana. Pague $350 para liberarlo: amzn-mx.com,spam,kaggle_mexico
BBVA: Su token expiro. Reactívelo ahora o perdera acceso: bit.ly/token-bbva,spam,kaggle_mexico
Urgente: su numero sera dado de baja. Confirme identidad: telcel-mx.net,spam,kaggle_mexico
Ganador! Su numero fue seleccionado. Reclame $50000 en: premios-mx.com,spam,kaggle_mexico
HSBC: Movimiento sospechoso en su cuenta. Verifique: hsbc-seguro.com,spam,kaggle_mexico
Scotiabank: Limite de credito aumentado. Active beneficio: bit.ly/scotia-mx,spam,kaggle_mexico
OXXO Pay: Tiene un reembolso de $780. Reclame en: oxxo-reembolsos.com,spam,kaggle_mexico
Su cuenta de WhatsApp sera suspendida. Verifique: bit.ly/wa-verificar,spam,kaggle_mexico
Gobierno CDMX: Multa vehicular pendiente. Pague antes del viernes: cdmx-multas.com,spam,kaggle_mexico
Infonavit: Su fondo de ahorro esta listo. Retirelo en: infonavit-retiro.net,spam,kaggle_mexico
Soriana: Gano una tarjeta de regalo de $2000. Reclame: soriana-premios.com,spam,kaggle_mexico
Coppel: Su credito fue aprobado. Active su tarjeta: coppel-activa.com,spam,kaggle_mexico
Liverpool: Tiene puntos acumulados por vencer. Canjee: liverpool-puntos.mx,spam,kaggle_mexico
Cinepolis: Gano 4 boletos gratis. Reclame antes de 24hrs: cinepolis-premios.com,spam,kaggle_mexico
Su numero participo en rifa IMSS. Gano $15000. Confirme datos: bit.ly/imss-rifa,spam,kaggle_mexico
Bancomer: Detectamos compra no reconocida de $4500. Cancele: bit.ly/bancomer,spam,kaggle_mexico
Alerta SAT: Declaracion anual pendiente con multa. Regularice: sat-declaracion.com,spam,kaggle_mexico
Hola como estas?,ham,kaggle_mexico
