etiqueta,mensaje,,,
ham,"Ve hasta Jurong Point, ¡qué locura! Disponible solo en Bugis y Great World La E Buffet... Cine allí tiene Amore...",,,
ham,Ok lar... Estoy bromeando contigo...,,,
spam,Participación gratuita en 2 concursos semanales para ganar entradas para la final de la FA Cup el 21 de mayo de 2005. Envía un SMS con la palabra FA al 87121 para recibir la pregunta de participación (tarifa de SMS estándar). Se aplican términos y condiciones. 08452810075. Mayores de 18 años.,,,
ham,"No lo digas tan temprano, ¿eh?... Ya lo ves y entonces dilo...",,,
ham,"No, no creo que vaya a la USF, aunque vive por aquí.",,,
spam,"Mensaje gratuito Hola cariño, ¡ya han pasado 3 semanas y no hay noticias tuyas! Me gustaría divertirme un poco, ¿todavía te apetece? ¡De acuerdo! XxX Gastos estándar para enviar, 1,50 € para recibir.",,,
ham,Ni siquiera mi hermano quiere hablar conmigo. Me tratan como si tuviera sida.,,,
ham,"Según tu solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha configurado como tu tono de llamada para todos tus contactos. Pulsa *9 para copiar el tono de llamada de tus amigos.",,,
spam,"¡GANADOR! Como cliente valioso de nuestra red, ha sido seleccionado para recibir un premio de 900 €. Para reclamarlo, llame al 09061701461. Código de reclamación: KL341. Válido solo durante 12 horas.",,,
spam,¿Tienes tu móvil desde hace 11 meses o más? ¡Tienes derecho a actualizarte gratis a los últimos móviles a color con cámara! Llama gratis a The Mobile Update Co al 08002986030.,,,
ham,"Voy a estar en casa pronto y no quiero hablar más de esto esta noche, ¿de acuerdo? Ya he llorado bastante hoy.",,,
spam,"¡Seis oportunidades de ganar DINERO EN EFECTIVO! De 100 a 20.000 libras. Envía un mensaje de texto con el texto CSH11 al 87575. Coste: 150 peniques/día, 6 días, mayores de 16 años. Se aplican términos y condiciones. Responde con HL para obtener más información.",,,
spam,"¡URGENTE! ¡Has ganado una membresía GRATUITA de 1 semana en nuestro premio mayor de £100,000! Envía un SMS con la palabra: RECLAMACIÓN al n.° 81010. Términos y condiciones: www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
ham,He estado buscando las palabras adecuadas para agradecerte este respiro. Prometo que no daré por sentada tu ayuda y cumpliré mi promesa. Has sido maravillosa y una bendición en todo momento.,,,
ham,¡TENGO UNA CITA CON WILL EL DOMINGO!,,,
spam,"XXXMobileMovieClub: Para usar tu crédito, haz clic en el enlace WAP del siguiente mensaje de texto o haz clic aquí >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,
ham,"Oh, vale... estoy mirando aquí :)",,,
ham,"Eh, ¿te acuerdas de cómo se escribe su nombre?... Sí, me acordé. Es muy travieso, me hace mojarme.",,,
